sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
359,"Oil from the seeds of Laurus nobilis L.","84603-73-6","283-272-5","(EC) No 1223/2009","76/768/EEC","","","","","",09/02/2011
360,"Safrole, except for normal content in the natural essences used and provided that the concentration does not exceed: 100 ppm in the finished cosmetic product, 50 ppm in products for dental and oral hygiene, and provided that Safrole is not present in toothpastes intended specifically for children","94-59-7","202-345-4","(EC) No 1223/2009","82/368/EEC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC","5-ALLYL-1,3-BENZODIOXOLE","(*)5-Allyl-1,3-benzodioxole (Safrole); 4-Allyl-1,2-methylenedioxybenzene;(**)CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED;(**)CINNAMOMUM CAMPHORA FORMOSANA ROOT EXTRACT;(**)CINNAMOMUM CAMPHORA FORMOSANA ROOT OIL;(**)CINNAMOMUM CAMPHORA LINALOOLIFERUM ROOT EXTRACT;(**)CINNAMOMUM CAMPHORA LINALOOLIFERUM ROOT OIL;SASSAFRAS OFFICINALE BARK EXTRACT;SASSAFRAS OFFICINALE BARK/ROOT EXTRACT;SASSAFRAS OFFICINALE ROOT OIL;(*)","Carcinogenic Cat. 1B  Mutagenic Cat. 2  ",20/10/2010
361,"5,5' -Di-isopropyl-2,2'-dimethylbiphenyl-4,4'-diyl dihypoiodite (thymol iodide)","552-22-7","209-007-5","(EC) No 1223/2009","76/768/EEC","","","Thymol iodide","","",20/10/2010
362,"3' -Ethyl-5',6',7',8'-tetrahydro-5',5',8',8'-tetramethyl-2'-acetonaphthone or 7-acetyl-6-ethyl-1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphthalen (AETT; Versalide)","88-29-9","201-817-7","(EC) No 1223/2009","2000/11/EC","","","AETT; Versalide","","",20/10/2010
363,"o -Phenylenediamine and its salts","95-54-5 ","202-430-6 ","(EC) No 1223/2009","83/341/EEC","","","","(*)o-phenylenediamine dihydrochloride;(*)o-Phenylenediamine;  1,2-Benzenediamine ","Carcinogenic Cat. 2  Mutagenic Cat. 2  ",20/10/2010
364,"4 -Methyl-m-phenylenediamine (Toluene-2,4-diamine) and its salts","95-80-7","202-453-1 ","(EC) No 1223/2009","83/341/EEC","790/2009 ","","2,4-Diaminotoluene; 1-Methyl-2,4-phenylenediamine; Toluene-2,4-diamine ; 1,3-Benzenediamine, 4-methyl-; 2,4-toluendiamine","(*)1,3-Benzenediamine, 4-methyl-, hydrochloride (1:1) ;(*)1,3-Benzenediamine, 4-methyl-, hydrochloride (1:2) ","Carcinogenic Cat. 1B  Mutagenic Cat. 2  Reprotoxic Cat. 2  ",10/01/2011
365,"Aristolochic acid and its salts; Aristolochia spp. and their preparations","475-80-9 / 313-67-7 / 15918-62-4","202-499-6 / 206-238-3 / -","(EC) No 1223/2009","2000/11/EC","","1991/97-AETT; CI 42 640","","(*)Aristolochia clematitis, ext.; Aristolochia extract obtained from Aristolochia clematitis, Aristolochiaceae;  Birthwort;  Dutchman's Pipe ;(*)Aristolochic acid II;  Phenanthro(3,4-d)-1,3-dioxole-5-carboxylic acid, 6-nitro-  ;(*)Aristolochic acid IV; Phenanthro(3,4-d)-1,3-dioxole-5-carboxylic acid, 8,10- dimethoxy-6-nitro-   ;(*)Aristolochic acid; 8-Methoxy-3,4-methylenedioxy-10-nitrophenanthrene-1- carboxylic acid;  Aristolochine  ;(*)Sodium aristolochate-I; Sodium 8-methoxy-6-nitrophenanthro[3,4-d]-1,3-dioxole-5-carboxylate;(*)Sodium aristolochate-II; Sodium 6-nitrophenanthro[3,4-d]-1,3-dioxole-5-carboxylate","",20/10/2010
366,"Chloroform","67-66-3","200-663-8","(EC) No 1223/2009","86/179/EEC","","","","CHLOROFORM","Carcinogenic Cat. 2  ",15/10/2010
367,"2,3,7,8 -Tetrachlorodibenzo-p-dioxin (TCDD)","1746-01-6","217-122-7","(EC) No 1223/2009","2000/11/EC","","1991/97-AETT; CI 42 640","2,3,7,8-tetrachlorodibenzo[b,e][1,4]dioxin","","",20/10/2010
368,"2,6 -Dimethyl-1,3-dioxan-4-yl acetate (Dimethoxane)","828-00-2","212-579-9","(EC) No 1223/2009","86/179/EEC","","","","","",03/03/2011
369,"Pyrithione sodium (INNM) (2)","3811-73-2 ","223-296-5 ","(EC) No 1223/2009","86/179/EEC","","","Pyridine-2-thiol 1-oxide, sodium salt","SODIUM PYRITHIONE","",20/10/2010
370,"N -(Trichloromethylthio)-4-cyclohexene-1,2-dicarboximide (Captan - ISO)","133-06-2","205-087-0","(EC) No 1223/2009","87/137/EEC","790/2009 ","","1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide","CAPTAN","Carcinogenic Cat. 2  ",29/10/2010
371,"2,2' -Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane (Hexachlorophene (INN)) ","70-30-4","200-733-8","(EC) No 1223/2009","87/137/EEC","","","","HEXACHLOROPHENE","",20/10/2010
372,"6 -(Piperidinyl)-2,4-pyrimidinediamine-3-oxide (Minoxidil (INN)) and its salts","38304-91-5 ","253-874-2 ","(EC) No 1223/2009","2000/11/EC","","1992/24-Opinion concerning Minoxidil and salts","","(*)4-Pyrimidinamine, 2,3-dihydro-3-hydroxy-2-imino-6-(1-piperidinyl)-   ;MINOXIDIL","",15/03/2011
373,"3,4',5 -Tribromosalicylanilide (Tribromsalan (INN))","87-10-5 ","201-723-6 ","(EC) No 1223/2009","2000/11/EC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide","","","",20/10/2010
374,"Phytolacca spp. and their preparations","65497-07-6 / 60820-94-2 ","","(EC) No 1223/2009","2000/11/EC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide","","PHYTOLACCA DECANDRA EXTRACT;PHYTOLACCA DECANDRA ROOT EXTRACT;(*)Phytolaccoside B;  Olean-12-ene-28,29-dioic acid, 2,23-dihydroxy-3-(beta-D- xylopyranosyloxy)-, 29-methyl ester, (2-beta,3-beta,4-alpha,20-beta)- ;(*)Phytolaccoside E; Esculentoside A; Olean-12-ene-28,29-dioic acid, 2,23-dihydroxy-3-((4-O-beta- D-glucopyranosyl-beta-D-xylopyranosyl)oxy)-, 29-methyl  ester, (2-beta,3-beta,4-alpha,20-beta)-     ","",20/10/2010
375,"Tretinoin (INN) (retinoic acid and its salts)","302-79-4 ","206-129-0 ","(EC) No 1223/2009","88/233/EEC","","","","RETINOIC ACID;(*)Retinoic acid, all-trans-, sodium salt; Vitamin A acid sodium salt  ","",20/10/2010
376,"1 -Methoxy-2,4-diaminobenzene (2,4-Diaminoanisole - CI 76050) and its salts","615-05-4 ","210-406-1","(EC) No 1223/2009","90/121/EEC","","","2,4-diaminoanisole; 4-methoxy-m-phenylenediamine [1]; 2,4-diaminoanisole sulphate [2]","(*)2,4-Diaminoanisole sulfate","Carcinogenic Cat. 1B  Mutagenic Cat. 2  ",20/10/2010
377,"1 -Methoxy-2,5-diaminobenzene (2,5-Diaminoanisole) and its salts","5307-02-8","226-161-9","(EC) No 1223/2009","90/121/EEC","","","","","",20/10/2010
378,"Colouring agent CI 12140","3118-97-6","221-490-4","(EC) No 1223/2009","88/233/EEC","","","C.I. Solvent Orange 7; 1-(2,4-Dimethylphenylazo)-2-naphthol ","","",15/10/2010
379,"Colouring agent CI 26105 (Solvent Red 24)","85-83-6","201-635-8","(EC) No 1223/2009","88/233/EEC","","","1-(2-Methyl-4-(2-methylphenylazo)phenylazo)-2-naphthol","SOLVENT RED 24","",20/10/2010
380,"Colouring agent CI 42555 (Basic Violet 3) Colouring agent CI 42555:1 Colouring agent CI 42555:2","548-62-9 / 467-63-0","208-953-6 / 207-396-6","(EC) No 1223/2009","88/233/EEC","","","4-[[4,4'-bis(dimethylamino)benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride","BASIC VIOLET 3","Carcinogenic Cat. 2  ",20/10/2010
381,"Amyl 4 -dimethylaminobenzoate, mixed isomers (Padimate A (INN))","14779-78-3","238-849-6","(EC) No 1223/2009","89/174/EEC","","","","PENTYL DIMETHYL PABA","",15/10/2010
383,"2 -Amino-4-nitrophenol","99-57-0 ","202-767-9 ","(EC) No 1223/2009","89/174/EEC","","","","2-AMINO-4-NITROPHENOL;2-AMINO-4-NITROPHENOL SULFATE","",20/10/2010
384,"2 -Amino-5-nitrophenol","121-88-0","204-503-8","(EC) No 1223/2009","89/174/EEC","","","","2-AMINO-5-NITROPHENOL","",20/10/2010
385,"11 -alpha-Hydroxypregn-4-ene-3,20-dione and its esters","80-75-1","201-306-9","(EC) No 1223/2009","2000/11/EC","","1990/97-11-Alpha-Hydroxypregn-4-ene-3,20-dione","11alpha-Hydroxyprogesterone; Pregn-4-ene-3,20-dione, 11-hydroxy-, (11alpha)- ","","",20/10/2010
386,"Colouring agent CI 42640 ([4 -[[4-(Dimethylamino)phenyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt) ","1694-09-3","216-901-9","(EC) No 1223/2009","2000/11/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC;1991/97-AETT; CI 42 640","","Moved or deleted","Carcinogenic Cat. 2  ",20/10/2010
387,"Colouring agent CI 13065","587-98-4","209-608-2","(EC) No 1223/2009","90/121/EEC","","","","ACID YELLOW 36","",20/10/2010
388,"Colouring agent CI 42535 (Basic Violet 1)","8004-87-3","","(EC) No 1223/2009","90/121/EEC","","","","BASIC VIOLET 1","",20/10/2010
389,"Colouring agent CI 61554 (Solvent Blue 35)","17354-14-2","241-379-4","(EC) No 1223/2009","90/121/EEC","","","","SOLVENT BLUE 35","",20/10/2010
390,"Anti -androgens of steroidal structure","","","(EC) No 1223/2009","2000/11/EC","","","","(*)oxendolone;PREGNENOLONE ACETATE","",15/10/2010
391,"Zirconium and its compounds, with the exception of the substances listed under reference number 50 in Annex III, and the zirconium lakes, pigments or salts of the colouring agents when listed Annex IV ","7440-67-7","231-176-9","(EC) No 1223/2009","2000/11/EC","","1993/97-Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate","","DIALLYLOXYNEOHEXYL ZIRCONIUM TRIDECANOATE;ZIRCONIUM CHLOROHYDRATE;ZIRCONIUM DIOXIDE;ZIRCONIUM POWDER;ZIRCONIUM SILICATE;ZIRCONYL CHLORIDE;ZIRCONYL DIOXIDE","",20/10/2010
392,"Moved or deleted","","","(EC) No 1223/2009","","","","","","",20/10/2010
393,"Acetonitrile","75-05-8","200-835-2","(EC) No 1223/2009","2000/11/EC","","1991/97-AETT; CI 42 640","","","",15/10/2010
394,"Tetrahydrozoline (Tetryzoline (INN)) and its salts","84-22-0 / 522-48-5 / 33067-94-6","201-522-3 / 208-329-3","(EC) No 1223/2009","2000/11/EC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide","","(*)tetrahydrozoline;(*)Tetrahydrozoline hydrochloride ","",20/10/2010
395,"Hydroxy -8-quinoline and its sulphate, except for the uses provided for in No 51 in Annex III","148-24-3 / 134-31-6","205-711-1 / 205-137-1","(EC) No 1223/2009","91/184/EEC","","","","(*)8-Hydroxyquinoline sulfate; Oxyquinoline sulfate;(*)8-Hydroxyquinoline; Oxyquinoline ;OXYQUINOLINE;OXYQUINOLINE SULFATE","",20/10/2010
396,"Dithio -2,2'-bispyridine-dioxide-1,1' (additive with trihydrated magnesium sulphate) - (pyrithione disulphide + magnesium sulphate)","43143-11-9","256-115-3","(EC) No 1223/2009","91/184/EEC","","","","","",15/10/2010
397,"Colouring agent CI 12075 (Pigment Orange 5) and its lakes, pigments and salts","3468-63-1","222-429-4","(EC) No 1223/2009","91/184/EEC","","","1-[(2,4-dinitrophenyl)azo]-2-naphthol; C.I. Pigment Orange 5
","PIGMENT ORANGE 5","",20/10/2010
398,"Colouring agent CI 45170, Colouring agent CI 45170:1 (Basic Violet 10)","81-88-9 / 509-34-2","201-383-9 / 208-096-8","(EC) No 1223/2009","91/184/EEC","","","","BASIC VIOLET 10;(*)Ethanaminium, N-(9-(2-carboxyphenyl)-6-(diethylamino)-3H-xanthen-3-ylidene)-N-ethyl-, chloride; Rhodamine B ;SOLVENT RED 49:1;(*)Solvent Red 49; 3',6'-Bis(diethylamino)spiro(isobenzofuran-1(3H),9'-(9H)xanthene)-3-one   ","",20/10/2010
399,"Lidocaine (INN)","137-58-6","205-302-8","(EC) No 1223/2009","91/184/EEC","","","","LIDOCAINE","",20/10/2010
400,"1,2 -Epoxybutane","106-88-7","203-438-2","(EC) No 1223/2009","92/86/EEC","","","","","Carcinogenic Cat. 2  ",15/10/2010
401,"Colouring agent CI 15585","2092-56-0 / 5160-02-1","218-248-5 / 225-935-3","(EC) No 1223/2009","92/86/EEC","","","","(*)Benzenesulfonic acid, 5-chloro-2-((2-hydroxy-1-naphthalenyl)azo)-4-methyl-, monosodium salt;   D&C Red No. 8 ;(*)Benzenesulfonic acid, 5-chloro-2-(2-(2-hydroxy-1-naphthalenyl)diazenyl)-4-methyl-, barium salt (2:1);  C.I. Pigment Red 53 ;PIGMENT RED 53","",09/06/2015
402,"Strontium lactate","29870-99-3","249-915-9","(EC) No 1223/2009","92/86/EEC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide;1993/97-Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate;0044/98-Opinion on Strontium Lactate, Nitrate and Polycarboxylate","","","",15/10/2010
403,"Strontium nitrate","10042-76-9","233-131-9","(EC) No 1223/2009","92/86/EEC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide;1993/97-Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate;0044/98-Opinion on Strontium Lactate, Nitrate and Polycarboxylate","","STRONTIUM NITRATE","",15/10/2010
404,"Strontium polycarboxylate","","","(EC) No 1223/2009","92/86/EEC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide;1993/97-Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate;0044/98-Opinion on Strontium Lactate, Nitrate and Polycarboxylate","","","",15/10/2010
405,"Pramocaine (INN)","140-65-8","205-425-7","(EC) No 1223/2009","92/86/EEC","","","","PRAMOXINE HCL","",20/10/2010
406,"4 -Ethoxy-m-phenylenediamine and its salts","67801-06-3 / 5862-77-1 / 68015-98-5 / 6219-69-8","267-125-2 / - / 268-164-8 / - ","(EC) No 1223/2009","92/86/EEC","","","","4-ETHOXY-M-PHENYLENEDIAMINE;4-ETHOXY-M-PHENYLENEDIAMINE SULFATE  ;(*)4-Ethoxybenzene-1,3-diammonium dichloride","",15/10/2010
407,"2,4 -Diaminophenylethanol and its salts","14572-93-1","","(EC) No 1223/2009","92/86/EEC","","","","","",20/10/2010
408,"Pyrocatechol (Catechol)","120-80-9","204-427-5","(EC) No 1223/2009","92/86/EEC","","","","PYROCATECHOL","",20/10/2010
409,"Pyrogallol","87-66-1","201-762-9","(EC) No 1223/2009","92/86/EEC","","","","PYROGALLOL","Mutagenic Cat. 2  ",15/10/2010
410,"Nitrosamines e.g. Dimethylnitrosoamine; Nitrosodipropylamine; 2,2' -(Nitrosoimino)bisethanol","62-75-9 / 621-64-7 / 1116-54-7 ","200-549-8 / 210-698-0 / 214-237-4 ","(EC) No 1223/2009","92/86/EEC","","","N-Nitrosodiethanolamine (NDELA)","(*)Diethylnitrosoamine","",07/01/2011
411,"Secondary alkyl - and alkanolamines and their salts","111-42-2 / 110-97-4","203-868-0 / 203-820-9","(EC) No 1223/2009","2003/83/EC","","0462/01-Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products;0110/99-Opinion concerning banning of Dialkanolamines which are still in the inventory","","2-Methylheptylamine and its salts;BUTYLETHANOLAMINE;DEA PG-OLEATE;DEA PG-PROPYL PEG/PPG-18/21 DIMETHICONE;DEA-C12-13 ALKYL SULFATE;DEA-C12-13 PARETH-3 SULFATE;DEA-C12-15 ALKYL SULFATE;DEA-C8-18 PERFLUOROALKYLETHYL PHOSPHATE;DEA-CETEARETH-2 PHOSPHATE;DEA-CETYL PHOSPHATE;DEA-CETYL SULFATE;DEA-COCOAMPHODIPROPIONATE;DEA-CYCLOCARBOXYPROPYLOLEATE;DEA-DODECYLBENZENESULFONATE;DEA-HYDROLYZED LECITHIN;DEA-ISOSTEARATE;DEA-LAURAMINOPROPIONATE;DEA-LAURETH SULFATE;DEA-LAURYL SULFATE;DEA-LINOLEATE;DEA-METHOXYCINNAMATE;DEA-METHYL MYRISTATE SULFONATE;DEA-MYRETH SULFATE;DEA-MYRISTATE;DEA-MYRISTYL SULFATE;DEA-OLETH-10 PHOSPHATE;DEA-OLETH-20 PHOSPHATE;DEA-OLETH-3 PHOSPHATE;DEA-OLETH-5 PHOSPHATE;DEA-PEG-4 LAURATE;DEA-POLYPERFLUOROETHOXYMETHOXY PEG-2 PHOSPHATE;DEA-STYRENE/ACRYLATES/DVB COPOLYMER;DICOCAMINE;DIETHANOLAMINE;DIETHANOLAMINE BISULFATE;DIETHYLAMINE;DIETHYLAMINE LAURETH SULFATE;DIETHYLHEXYLAMINE;DIISOPROPANOLAMINE;DIISOPROPYLAMINE;DIPA-HYDROGENATED COCOATE;DIPA-LANOLATE;DIPA-MYRISTATE;HEXOXYETHYL DIETHYLAMMONIUM PHOSPHATE;Isometheptene (INN) and its salts;MIXED ISOPROPANOLAMINES;MIXED ISOPROPANOLAMINES LANOLATE;MIXED ISOPROPANOLAMINES LAURYL SULFATE;MIXED ISOPROPANOLAMINES MYRISTATE","",15/10/2010
412,"4 -Amino-2-nitrophenol","119-34-6","204-316-1","(EC) No 1223/2009","93/47/EEC","","","","4-AMINO-2-NITROPHENOL","",20/10/2010
413,"2 -Methyl-m-phenylenediamine (Toluene-2,6-diamine)","823-40-5","212-513-9","(EC) No 1223/2009","94/32/EC","","","2,6-toluenediamine ","TOLUENE-2,6-DIAMINE","Mutagenic Cat. 2  ",20/10/2010
414,"4 -tert.-Butyl-3-methoxy-2,6-dinitrotoluene (Musk ambrette)","83-66-9 ","201-493-7 ","(EC) No 1223/2009","95/34/EC","","","","","",20/10/2010
415,"Moved or deleted","","","(EC) No 1223/2009","","","","","","",20/10/2010
416,"Cells, tissues or products of human origin","","","(EC) No 1223/2009","95/34/EC","","","","HAIR KERATIN AMINO ACIDS;HUMAN ADIPOCYTE CONDITIONED MEDIA EXTRACT;HUMAN ADIPOSE STROMAL CELL CONDITIONED MEDIA EXTRACT;HUMAN AMNIOTIC FLUID CELL CONDITIONED MEDIA;HUMAN AMNIOTIC FLUID CELL CONDITIONED MEDIA EXTRACT;HUMAN BONE MARROW STEM CELL CONDITIONED MEDIA;HUMAN CORD BLOOD CELL CONDITIONED MEDIA;HUMAN ENDOTHELIAL CELL CONDITIONED MEDIA;HUMAN EPITHELIAL CELL CONDITIONED MEDIA EXTRACT;HUMAN FIBROBLAST CONDITIONED MEDIA;HUMAN FIBROBLAST/HUMAN KERATINOCYTE CONDITIONED MEDIA;HUMAN HAIR FOLLICLE CELL CONDITIONED MEDIA;HUMAN KERATINOCYTES;HUMAN NEURAL CELL CONDITIONED MEDIA;HUMAN NEURAL CELL CULTURE EXTRACT;HUMAN PLACENTAL ENZYMES;HUMAN PLACENTAL EXTRACT;HUMAN PLACENTAL LIPIDS;HUMAN PLACENTAL PROTEIN;HUMAN STEM CELL CONDITIONED MEDIA;HUMAN UMBILICAL EXTRACT;HUMAN UMBILICAL SERUM EXTRACT;HYDROLYZED HAIR KERATIN;HYDROLYZED HUMAN ADIPOSE STROMAL CELL CULTURE EXTRACT;HYDROLYZED HUMAN PLACENTAL PROTEIN;R-CLOSTRIDIUM HISTOLYTICUM COLLAGENASE RH-OLIGOPEPTIDE-60;RH-OLIGOPEPTIDE-1;RH-OLIGOPEPTIDE-2;RH-POLYPEPTIDE-1;RH-POLYPEPTIDE-10;RH-POLYPEPTIDE-11;RH-POLYPEPTIDE-12;RH-POLYPEPTIDE-13 ;RH-POLYPEPTIDE-14 ;RH-POLYPEPTIDE-15;RH-POLYPEPTIDE-16;RH-POLYPEPTIDE-17;RH-POLYPEPTIDE-18;RH-POLYPEPTIDE-19;RH-POLYPEPTIDE-2;RH-POLYPEPTIDE-22;RH-POLYPEPTIDE-25;RH-POLYPEPTIDE-26;RH-POLYPEPTIDE-27;RH-POLYPEPTIDE-28;RH-POLYPEPTIDE-29;RH-POLYPEPTIDE-3;RH-POLYPEPTIDE-4;RH-POLYPEPTIDE-5;RH-POLYPEPTIDE-6;RH-POLYPEPTIDE-7;RH-POLYPEPTIDE-7 HEXAPEPTIDE-25;RH-POLYPEPTIDE-8;RH-POLYPEPTIDE-9","",03/03/2011
417,"3,3 -Bis(4-hydroxyphenyl)phthalide (Phenolphthalein (INN))","77-09-8","201-004-7","(EC) No 1223/2009","95/34/EC","790/2009 ","","","PHENOLPHTHALEIN","Carcinogenic Cat. 1A (C=>1%)  Carcinogenic Cat. 1B  Mutagenic Cat. 2  Reprotoxic Cat. 2  ",07/01/2011
418,"3 -Imidazol-4-ylacrylic acid (Urocanic acid) and its ethyl ester ","27538-35-8 / 104-98-3","248-515-1 / 203-258-4","(EC) No 1223/2009","96/41/EC","","","","ETHYL UROCANATE;UROCANIC ACID","",20/10/2010
419,"Category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002 of the European Parliament and of the Council (3), and ingredients derived therefrom","","","(EC) No 1223/2009","2006/78/EC","","0451/01-Opinion concerning Amendment to Entry No 419 of Annex II to Directive 76/768/EEC on Cosmetic Products;0521/01-Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products;0552/02-Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products ;0612/02-Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products;0724/03-Use of Specified Risk Material in Cosmetics Clarification for Tallow Derivatives;0933/05-Risk of ingredients deriving from category 1-material and category 2-material as defined in Regulation 1774/2002 I cosmetic products","","BRAIN EXTRACT;BRAIN LIPIDS;CEREBROSIDES;MARROW EXTRACT;MARROW LIPIDS;NEURAL EXTRACT;SPINAL CORD EXTRACT;SPINAL CORD LIPIDS;SPINAL LIPID EXTRACT;SPLEEN EXTRACT;SPLEEN HYDROLYSATE","",20/10/2010
420,"Crude and refined coal tars","8007-45-2","232-361-7","(EC) No 1223/2009","97/45/EC","","0330/00-Opinion on Refined Coal Tar by Bidistillation;0646/03-Opinion on Wood Tars and Wood Tar Preparations","","COAL TAR;(*)Distillates (coal tar), upper, fluorene-free (CAS No 84989-10-6), if they contain > 0.005% w/w benzo[a]pyrene;(*)Distillates (coal tar), upper, fluorene-rich (CAS No 84989-11-7), if they contain > 0.005% w/w benzo[a]pyrene;(*)Pitch, coal tar, high-temp.;(*)Tar, brown-coal;(*)Tar, brown-coal, low-temp.;(*)Tar, coal;(*)Tar, coal, high-temp.;(*)Tar, coal, low-temp.","",15/10/2010
421,"1,1,3,3,5 -Pentamethyl-4,6-dinitroindane (Moskene)","116-66-5","204-149-4","(EC) No 1223/2009","98/62/EC","","1431/96-4,6-Dinitro-1,1,3,3,5-pentamethylindane (Musk Moskene)","","","",15/10/2010
422,"5 -tert.-Butyl-1,2,3-trimethyl-4,6-dinitrobenzene (Musk Tibetene)","145-39-1","205-651-6","(EC) No 1223/2009","98/62/EC","","1430/96-5-tert-Butyl-1,2,3-trimethyl-4,6-dinitrobenzene (Musk Tibetene)","","","",20/10/2010
423,"Alanroot oil (Inula helenium L.) (CAS No 97676 -35-2), when used as a fragrance ingredient","97676-35-2","","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
424,"Benzyl cyanide, when used as a fragrance ingredient","140-29-4","205-410-5","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","PHENYLACETONITRILE","",20/10/2010
425,"Cyclamen alcohol, when used as a fragrance ingredient","4756-19-8","225-289-2","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","CYCLAMEN HOMOALDEHYDE","",20/10/2010
426,"Diethyl maleate, when used as a fragrance ingredient","141-05-9","205-451-9","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","2-Butenedioic acid (2Z)-, 1,4-diethyl ester 
","","",20/10/2010
427,"3,4 -Dihydrocoumarin, when used as a fragrance ingredient","119-84-6","204-354-9","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","3,4-Dihydrocoumarin; Melilotin
","DIHYDROCOUMARIN","",20/10/2010
428,"2,4 -Dihydroxy-3-methylbenzaldehyde, when used as a fragrance ingredient","6248-20-0","228-369-5","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
429,"3,7 -Dimethyl-2-octen-1-ol (6,7-Dihydrogeraniol), when used as a fragrance ingredient","40607-48-5","254-999-5","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","D-DIHYDROGERANIOL;L-DIHYDROGERANIOL","",20/10/2010
430,"4,6 -Dimethyl-8-tert-butylcoumarin, when used as a fragrance ingredient","17874-34-9","241-827-9","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
431,"Dimethyl citraconate, when used as a fragrance ingredient","617-54-9","","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
432,"7,11 -Dimethyl-4,6,10-dodecatrien-3-one (Pseudomethylionone), when used as a fragrance ingredient","26651-96-7","247-878-3","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","Pseudomethylionone 
","","",20/10/2010
433,"6,10 -Dimethyl-3,5,9-undecatrien-2-one (Pseudoionone), when used as a fragrance ingredient","141-10-6","205-457-1","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","Pseudoionone","","",20/10/2010
434,"Diphenylamine, when used as a fragrance ingredient","122-39-4","204-539-4","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
