sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
44,"1,3 -Bis(hydroxymethyl)imidazolidine-2-thione","DIMETHYLOL ETHYLENE THIOUREA","15534-95-9","239-579-1","(a) Hair products (b) Nail products","(a) 2% (b) 2% ","(a) Not to be used in aerosol dispensers (sprays) (b) pH < 4 ","Contains Dimethylol ethylene thiourea","(EC) No 1223/2009","86/179/EEC","","","","DIMETHYLOL ETHYLENE THIOUREA","",17/10/2010
45,"Benzyl Alcohol","BENZYL ALCOHOL","100-51-6","202-859-9","(a) Solvent (b) Fragrance/ aromatic compositions/ their raw materials","","For purposes other than inhibiting the development of microorganisms in the product. This purpose has to be apparent from the presentation of the product. (b) The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: — 0,001 % in leave -on products — 0,01 % in rinse-off products.","","(EC) No 344/2013","","","","Benzyl Alcohol","","",24/07/2015
46,"6 -Methylcoumarin","6-METHYLCOUMARIN","92-48-8","202-158-8","Oral products","0.003%","","","(EC) No 1223/2009","83/191/EEC","","","","6-METHYL COUMARIN","",17/10/2010
47,"Nicomethanol Hydrofluoride","NICOMETHANOL HYDROFLUORIDE","62756-44-9","-","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains nicomethanol hydrofluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","3-Pyridinemethanol hydrofluoride","","",14/05/2013
48,"Silver nitrate","SILVER NITRATE","7761-88-8","231-853-9","Only for colouring eyelashes and eyebrows","4%","","Contains silver nitrate  Rinse eyes immediately if product comes into contact with them","(EC) No 1223/2009","84/415/EEC","","","","SILVER NITRATE","",17/10/2010
49,"Selenium sulfide","SELENIUM DISULPHIDE","7488-56-4","231-303-8","Antidandruff shampoos","1%","","Contains selenium disulphide Avoid contact with eyes or damaged skin","(EC) No 1223/2009","85/391/EEC","","","","SELENIUM SULFIDE","",17/10/2010
50,"Aluminium zirconium chloride hydroxide complexes AlxZr(OH)yClz and the aluminium zirconium chloride hydroxide glycine complexes","","","","Anti -perspirants","20% (as anhydrous aluminium zirconium chloride hydroxide) 5.4% (as zirconium)","1. The ratio of the number of aluminium atoms to that of zirconium atoms must be between 2 and 10 2. The ratio of the number of (Al+Zr) atoms to that of chlorine atoms must be between 0.9 and 2.1 3. Not to be used in aerosols dispensers (sprays)","Do not apply to irritated or damaged skin","(EC) No 1223/2009","85/391/EEC","","","","ALUMINUM ZIRCONIUM OCTACHLOROHYDRATE;ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY;ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE;ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY;ALUMINUM ZIRCONIUM TETRACHLOROHYDRATE;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX PEG;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX PG;ALUMINUM ZIRCONIUM TRICHLOROHYDRATE;ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY","",17/10/2010
51,"Quinolin -8-ol and bis(8-hydroxyquinolium) sulphate","OXYQUINOLINE / OXYQUINOLINE SULFATE","148-24-3 / 134-31-6","205-711-1 / 205-137-1","(a) Stabilizer for hydrogen peroxide in rinse -off hair products (b) Stabilizer for hydrogen peroxide in leave-on hair products ","(a) 0.3% (as base) (b) 0.03% (as base) ","","","(EC) No 1223/2009","88/233/EEC","","","","Hydroxy-8-quinoline and its sulphate, except for the uses provided for in No 51 in Annex III;OXYQUINOLINE;OXYQUINOLINE SULFATE","",17/10/2010
52,"Methanol","METHYL ALCOHOL","67-56-1","200-659-6","Denaturant for ethanol and isopropyl alcohol","5% (as a % of ethanol and isopropyl alcohol)","","","(EC) No 1223/2009","87/137/EEC","","","","METHYL ALCOHOL","",17/10/2010
53,"(1 -Hydroxyethylidene)diphosphonic acid and its salts","ETIDRONIC ACID ","2809-21-4","220-552-8","(a) Hair product (b) Soap ","(a) 1.5% (as etidronic acid) (b) 0.2% (as etidronic acid) ","","","(EC) No 1223/2009","89/174/EEC","","","Phosphonic acid, (1-hydroxyethylidene)bis- 
","DISODIUM ETIDRONATE;ETIDRONIC ACID;TETRAPOTASSIUM ETIDRONATE;TETRASODIUM ETIDRONATE","",17/10/2010
54,"1 -Phenoxypropan-2-ol (8)","","770-35-4","212-222-7","Rinse -off products  Not to be used in oral products","2%","For purposes other than inhibiting the development of micro -organisms in the product. This purpose has to be apparent from the presentation of the product ","","(EC) No 1223/2009","88/233/EEC","","","","PHENOXYISOPROPANOL","",09/11/2010
55,"Moved or deleted","","","","","","","","(EC) No 1223/2009","","","","","","",17/10/2010
56,"Magnesium fluoride","MAGNESIUM FLUORIDE","7783-40-6","231-995-1","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains magnesium fluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
57,"Strontium chloride hexahydrate","STRONTIUM CHLORIDE","10476-85-4","233-971-6","(a) Oral products (b) Shampoo and face products ","(a) 3.5% (as strontium)  When mixed with other permitted strontium products the total strontium content must not exceed 3.5% (b) 2.1% (as strontium) When mixed with other permitted strontium products the total strontium content must not exceed 2.1% ","","Contains strontium chloride Frequent use by children is not advisable ","(EC) No 1223/2009","98/62/EC","","1468/97-Strontium chloride hexahydrate","","STRONTIUM CHLORIDE","",17/10/2010
58,"Strontium acetate hemihydrate","STRONTIUM ACETATE","543-94-2","208-854-8","Oral products","3.5% (as strontium) When mixed with other permitted strontium products the total strontium content must not exceed 3.5%","","Contains strontium acetate Frequent use by children is not advisable","(EC) No 1223/2009","92/86/EEC","","","","STRONTIUM ACETATE","",17/10/2010
59,"Talc: Hydrated magnesium silicate","TALC","14807-96-6","238-877-9","(a) Powdery products intended to be used for children under 3 years of age (b) Other products ","","","(a) Keep powder away from children's nose and mounth ","(EC) No 1223/2009","94/32/EC","","","","TALC","",17/10/2010
60,"Fatty acid dialkylamides and dialkanolamides","","","","","Maximum secondary amine content: 0.5%"," - Do not use with nitrosating systems - Maximum secondary amine content: 5% (applies to raw materials)  - Maximum nitrosamine content: 50 microgram/kg  - Keep in nitrite-free containers","","(EC) No 1223/2009","2003/83/EC","","0462/01-Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products","","ALMONDAMIDE DEA;APRICOTAMIDE DEA;AVOCADAMIDE DEA;AVOCADAMIDE DIPA;BABASSUAMIDE DEA;BEHENAMIDE DEA;CAPRAMIDE DEA;CETYL-PG HYDROXYETHYL DECANAMIDE;CETYL-PG HYDROXYETHYL PALMITAMIDE;COCAMIDE DEA;COCAMIDE DIPA;CORNAMIDE DEA;CORNAMIDE/COCAMIDE DEA;DIETHYL CAPRYLAMIDE;DIMETHYL CAPRAMIDE;HYDROGENATED TALLOWAMIDE DEA;HYDROXYCETYL HYDROXYETHYLSTEARAMIDE;ISOSTEARAMIDE DEA;LANOLINAMIDE DEA;LAURAMIDE DEA;LAURAMIDE/MYRISTAMIDE DEA;LECITHINAMIDE DEA;LINOLEAMIDE DEA;MINKAMIDE DEA;MYRISTAMIDE DEA;N-LAURYL DIETHANOLAMINE;OLEAMIDE DEA;OLEAMIDE DIPA;OLIVAMIDE DEA;PALM KERNELAMIDE DEA;PALMAMIDE DEA;PALMITAMIDE DEA;RICEBRANAMIDE DEA;RICINOLEAMIDE DEA;SESAMIDE DEA;SESAMIDE DIPA;SOYAMIDE DEA;STEARAMIDE DEA;TALLAMIDE DEA;TALLOWAMIDE DEA;UNDECYLENAMIDE DEA;WHEAT GERMAMIDE DEA","",17/10/2010
61,"Monoalkylamines, monoalkanolamines and their salts","","","","","Maximum secondary amine content: 0.5%"," - Do not use with nitrosating systems - Minimum purity: 99%  - Maximum secondary amine content: 0.5% (applies to raw materials)  - Maximum nitrosamine content: 50 microgram/kg  - Keep in nitrite-free containers","","(EC) No 1223/2009","2003/83/EC","","0462/01-Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products","","2-AMINOBUTANOL;ACETAMIDE MEA;AMINOMETHYL PROPANOL;AMP-ACRYLATE/C1-18 ALKYL ACRYLATES/C1-8 ALKYL ACRYLAMIDE COPOLYMER;AMP-ACRYLATES COPOLYMER;AMP-ACRYLATES/ALLYL METHACRYLATE COPOLYMER;AMP-ACRYLATES/C1-18 ALKYL ACRYLATE/C1-8 ALKYL ACRYLAMIDE/HYDROXYETHYLACRYLATE COPOLYMER;AMP-ACRYLATES/DIACETONEACRYLAMIDE COPOLYMER;AMP-ACRYLATES/DIMETHYLAMINOETHYLMETHACRYLATE COPOLYMER;AMP-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER;AMP-ISOSTEAROYL GELATIN/KERATIN AMINO ACIDS/LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE;AMP-ISOSTEAROYL HYDROLYZED COLLAGEN;AMP-ISOSTEAROYL HYDROLYZED ELASTIN;AMP-ISOSTEAROYL HYDROLYZED KERATIN;AMP-ISOSTEAROYL HYDROLYZED SILK;AMP-ISOSTEAROYL HYDROLYZED SOY PROTEIN;AMP-ISOSTEAROYL HYDROLYZED WHEAT PROTEIN;AMP-ISOSTEAROYL WHEAT/CORN/SOY AMINO ACIDS;BABASSUAMIDE MEA;CICLOPIROX OLAMINE;COCAMINE;ETHANOLAMINE;ETHANOLAMINE DITHIODIGLYCOLATE;ETHANOLAMINE GLYCEROPHOSPHATE;ETHANOLAMINE HCL;ETHANOLAMINE THIOGLYCOLATE;HYDROGENATED TALLOWAMINE;ISOPROPANOLAMINE;ISOPROPANOLAMINE LANOLATE;ISOPROPYLAMINE;ISOPROPYLAMINE DODECYLBENZENESULFONATE;LAURAMINE;LYSOPHOSPHATIDYLETHANOLAMINE;MEA O-PHENYLPHENATE;MEA PPG-6 LAURETH-7 CARBOXYLATE;MEA-BENZOATE;MEA-BIOTINATE;MEA-BORATE;MEA-COCOATE;MEA-DICETEARYL PHOSPHATE;MEA-HYDROLYZED COLLAGEN;MEA-HYDROLYZED SILK;MEA-LAURETH SULFATE;MEA-LAURETH-6 CARBOXYLATE;MEA-LAURYL SULFATE;MEA-PPG-8-STEARETH-7 CARBOXYLATE;MEA-SALICYLATE;MEA-SULFITE;MEA-THIOLACTATE;MEA-UNDECYLENATE;MIPA C12-15 PARETH SULFATE;MIPA-BORATE;MIPA-DODECYLBENZENESULFONATE;MIPA-LAURETH SULFATE;MIPA-LAURYL SULFATE;MIPA-MYRISTATE;OLEAMINE;PALMITAMINE;PIROCTONE OLAMINE;SODIUM/MEA LAURETH-2 SULFOSUCCINATE;SODIUM/MEA-PEG-3 COCAMIDE SULFATE;SOYAMINE;STEARAMINE;TALLOW AMINE;TROMETHAMINE","",02/03/2011
62,"Trialkylamines, trialkanolamines and their salts","","-","-","(a) Leave -on products (b) Rinse-off products ","(a) 2.5% ","(a) (b)  - Do not use with nitrosating systems  - Minimum purity: 99% - Maximum secondary amine content: 0.5% (applies to raw materials)  - Maximum nitrosamine content: 50 microgram/kg  - Keep in nitrite-free containers ","","(EC) No 1223/2009","2003/83/EC","","0462/01-Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products","","BUTYL DIETHANOLAMINE;DI-TEA-COCAMIDE DIACETATE;DI-TEA-OLEAMIDO PEG-2 SULFOSUCCINATE;DI-TEA-PALMITOYL ASPARTATE;DIBEHENYL METHYLAMINE;DIMETHYL BEHENAMINE;DIMETHYL COCAMINE;DIMETHYL HYDROGENATED TALLOWAMINE;DIMETHYL LAURAMINE;DIMETHYL LAURAMINE DIMER DILINOLEATE;DIMETHYL LAURAMINE ISOSTEARATE;DIMETHYL LAURAMINE OLEATE;DIMETHYL MYRISTAMINE;DIMETHYL PALMITAMINE;DIMETHYL SOYAMINE;DIMETHYL STEARAMINE;DIMETHYL TALLOWAMINE;DISTEARYLDIMETHYLAMINE DILINOLEATE;HYDROXYETHYL ISOSTEARYLOXY ISOPROPANOLAMINE;LAURYL DIMETHYLAMINE CYCLOCARBOXYPROPYLOLEATE;MAGNESIUM/TEA-COCO-SULFATE;METHYL DICOCAMINE;POLYURETHANE-17;POLYURETHANE-18;POLYURETHANE-19;POLYURETHANE-21;SODIUM/TEA-LAUROYL COLLAGEN AMINO ACIDS;SODIUM/TEA-LAUROYL HYDROLYZED COLLAGEN;SODIUM/TEA-LAUROYL HYDROLYZED KERATIN;SODIUM/TEA-LAUROYL KERATIN AMINO ACIDS;SODIUM/TEA-UNDECYLENOYL ALGINATE;SODIUM/TEA-UNDECYLENOYL CARRAGEENAN;SODIUM/TEA-UNDECYLENOYL COLLAGEN AMINO ACIDS;SODIUM/TEA-UNDECYLENOYL HYDROLYZED COLLAGEN;SODIUM/TEA-UNDECYLENOYL HYDROLYZED CORN PROTEIN;SODIUM/TEA-UNDECYLENOYL HYDROLYZED SOY PROTEIN;SODIUM/TEA-UNDECYLENOYL HYDROLYZED WHEAT PROTEIN;SULFURIZED TEA-RICINOLEATE;TEA C14-17 ALKYL SEC SULFONATE;TEA-ABIETOYL HYDROLYZED COLLAGEN;TEA-ACRYLATES/ACRYLONITROGENS COPOLYMER;TEA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER;TEA-ALGINATE;TEA-C10-15 ALKYL SULFATE;TEA-C11-15 ALKYL SULFATE;TEA-C11-15 PARETH SULFATE;TEA-C12-13 ALKYL PHOSPHATE;TEA-C12-13 ALKYL SULFATE;TEA-C12-13 PARETH-3 SULFATE;TEA-C12-14 ALKYL PHOSPHATE;TEA-C12-14 ALKYL SULFATE;TEA-C12-15 ALKYL SULFATE;TEA-C8-18 PERFLUOROALKYLETHYL PHOSPHATE;TEA-CANOLATE;TEA-CARBOMER;TEA-COCAMIDE DIACETATE;TEA-COCO-SULFATE;TEA-COCOATE;TEA-COCOYL ALANINATE;TEA-COCOYL GLUTAMATE;TEA-COCOYL GLUTAMINATE;TEA-COCOYL GLYCINATE;TEA-COCOYL HYDROLYZED COLLAGEN;TEA-COCOYL HYDROLYZED SOY PROTEIN;TEA-COCOYL SARCOSINATE;TEA-DEXTRIN OCTENYLSUCCINATE;TEA-DIETHANOLAMINOETHYL POLYISOBUTENYLSUCCINATE;TEA-DIMETHICONE PEG-7 PHOSPHATE;TEA-DODECYLBENZENESULFONATE;TEA-EDTA;TEA-GLYCERYL DIMALEATE;TEA-HYDROCHLORIDE;TEA-HYDROGENATED COCOATE;TEA-HYDROGENATED TALLOWOYL GLUTAMATE;TEA-HYDROIODIDE;TEA-ISOSTEARATE;TEA-ISOSTEAROYL HYDROLYZED COLLAGEN;TEA-LACTATE;TEA-LANETH-5 SULFATE;TEA-LAURAMINOPROPIONATE;TEA-LAURATE;TEA-LAURATE/MYRISTATE;TEA-LAURETH SULFATE;TEA-LAURETH-4 PHOSPHATE;TEA-LAUROYL COLLAGEN AMINO ACIDS;TEA-LAUROYL GLUTAMATE;TEA-LAUROYL HYDROLYZED COLLAGEN;TEA-LAUROYL KERATIN AMINO ACIDS;TEA-LAUROYL LACTYLATE;TEA-LAUROYL METHYLAMINOPROPIONATE;TEA-LAUROYL SARCOSINATE;TEA-LAUROYL/MYRISTOYL ASPARTATE;TEA-LAURYL PHOSPHATE;TEA-LAURYL SULFATE;TEA-MYRISTAMINOPROPIONATE;TEA-MYRISTATE;TEA-MYRISTOYL HYDROLYZED COLLAGEN;TEA-OLEATE;TEA-OLEOYL HYDROLYZED COLLAGEN;TEA-OLEOYL SARCOSINATE;TEA-OLEYL SULFATE;TEA-PALM KERNEL SARCOSINATE;TEA-PALMITATE;TEA-PCA;TEA-PEG-3 COCAMIDE SULFATE;TEA-PEG-50 HYDROGENATED CASTOR OIL SUCCINATE;TEA-PHENYLBENZIMIDAZOLE SULFONATE;TEA-ROSINATE;TEA-SALICYLATE;TEA-SORBATE;TEA-STEARATE;TEA-SULFATE;TEA-TALLATE;TEA-TRIDECYLBENZENESULFONATE;TEA-UNDECYLENATE;TEA-UNDECYLENOYL HYDROLYZED COLLAGEN;TIPA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER;TIPA-LAURETH SULFATE;TIPA-LAURYL SULFATE;TIPA-MYRISTATE;TIPA-STEARATE;TRIETHANOLAMINE;TRIETHANOLAMINE POLYOXYETHYLENE ALKYLPHENYLETHER PHOSPHATE;(*)Triethylamine;TRIISOPROPANOLAMINE;TRILAURYLAMINE","",17/10/2010
63,"Strontium hydroxide","STRONTIUM HYDROXIDE","18480-07-4","242-367-1","pH -adjuster for depilatories","3.5% (as strontium) ","pH <= 12.7","Keep out of reach of children Avoid contact with the eyes","(EC) No 1223/2009","94/32/EC","","","","STRONTIUM HYDROXIDE","",17/10/2010
64,"Strontium peroxide","STRONTIUM PEROXIDE","1314-18-7","215-224-6","Rinse -off hair products","4.5% (as strontium)","All products must meet the hydrogen peroxide release requirements Professional use","Avoid contact with eyes Rinse eyes immediately if product comes into contact with them For professional use only Wear suitable gloves","(EC) No 1223/2009","94/32/EC","","","","STRONTIUM PEROXIDE","",17/10/2010
65,"Benzalkonium chloride, bromide and saccharinate (9)","BENZALKONIUM CHLORIDE / BENZALKONIUM BROMIDE / BENZALKONIUM SACCHARINATE","91080-29-4 / 63449-41-2 / 68391-01-5 / 68424-85-1 / 85409-22-9 / 68989-01-5","293-522-5 / 264-151-6 / 269-919-4 / 270-325-2 / 287-089-1 / 273-545-7","Rinse -off hair (head) products  ","3% (as benzalkonium chloride) ","In the final products the concentrations of benzalkonium chloride, bromide and saccharinate with an alkyl chain of C14, or less must not exceed 0.1% (as benzalkonium chloride) For purposes other than inhibiting the development of micro -organismes in the product. This purpose has to be apparent from the presentation of the product ","Avoid contact with the eyes ","(EC) No 1223/2009","2000/6/EC","","0125/99-Opinion concerning Restrictions on Materials listed in annex VI of Directive 76/768/EEC on Cosmetic Products","","BENZALKONIUM BROMIDE;BENZALKONIUM CHLORIDE;BENZALKONIUM SACCHARINATE;CETALKONIUM CHLORIDE;CETEARALKONIUM BROMIDE;HYDROGENATED TALLOWALKONIUM CHLORIDE;STEARALKONIUM CHLORIDE;TALLOWALKONIUM CHLORIDE","",04/11/2010
66,"Polyacrylamides","","","","(a) Body leave -on products (b) Other products ","","(a) Maximum residual acrylamide content 0.1mg/kg (b) Maximum residual acrylamide content 0.5mg/kg ","","(EC) No 1223/2009","2002/34/EC","","0011/98-Opinion concerning Acrylamide Residues in Cosmetics","","ACRYLAMIDE/AMMONIUM ACRYLATE COPOLYMER;ACRYLAMIDE/ETHALKONIUM CHLORIDE ACRYLATE COPOLYMER;ACRYLAMIDE/ETHYLTRIMONIUM CHLORIDE ACRYLATE/ETHALKONIUM CHLORIDE ACRYLATE COPOLYMER;ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER;ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER;ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE/ACRYLIC ACID COPOLYMER;ACRYLAMIDES COPOLYMER;ACRYLAMIDES/DMAPA ACRYLATES/METHOXY PEG METHACRYLATE COPOLYMER;ACRYLAMIDOPROPYLTRIMONIUM CHLORIDE/ACRYLAMIDE COPOLYMER;ACRYLATES/ACRYLAMIDE COPOLYMER;AMINOETHYLPROPANEDIOL-ACRYLATES/ACRYLAMIDE COPOLYMER;CORN STARCH/ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER;GELATIN/LYSINE/POLYACRYLAMIDE HYDROXYPROPYLTRIMONIUM CHLORIDE;POLYACRYLAMIDE;POLYACRYLATE-10;POLYACRYLATE-11;POLYACRYLATE-13;POLYACRYLATE-2;POLYACRYLATE-7;POLYQUATERNIUM-32;POLYQUATERNIUM-33;POLYQUATERNIUM-39;POLYQUATERNIUM-43;POLYQUATERNIUM-5;POLYQUATERNIUM-53;POLYQUATERNIUM-63;POLYQUATERNIUM-7;POLYQUATERNIUM-94;POLY[OXYMETHYLENE MELAMINE ACRYLATES/ACRYLAMIDE];POTASSIUM ACRYLATES/ACRYLAMIDE COPOLYMER;SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE/ACRYLAMIDE COPOLYMER;SODIUM ACRYLOYLDIMETHYL TAURATE/ACRYLAMIDE/VP COPOLYMER;STARCH/ACRYLATES/ACRYLAMIDE COPOLYMER;STYRENE/ACRYLAMIDE COPOLYMER","",17/10/2010
67,"2 -Benzylideneheptanal","AMYL CINNAMAL ","122-40-7","204-541-5","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","AMYL CINNAMAL","",17/10/2010
69,"Cinnamyl alcohol ","CINNAMYL ALCOHOL ","104-54-1","203-212-3","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","CINNAMYL ALCOHOL","",17/10/2010
70,"3,7 -Dimethyl-2,6-octadienal  ","CITRAL","5392-40-5","226-394-6","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;1153/08-Opinion on Dermal Sensitization Quantitative Risk Assesment  (QRA: Citral, farnesol and phenylacetaldehyde);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","CITRAL","",17/10/2010
71,"Phenol, 2 -methoxy-4-(2-propenyl)-   ","EUGENOL","97-53-0","202-589-1","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:  - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","EUGENOL","",17/10/2010
72,"Hydroxycitronellal","HYDROXYCITRONELLAL","107-75-5","203-518-7","(a) Oral products (b) Other products","(b) 1,0 %","(a) (b) The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: — 0,001 % in leave -on products — 0,01 % in rinse-off products","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","7-Hydroxycitronellal","","",14/05/2013
73,"Isoeugenol","ISOEUGENOL","97-54-1 --  5932-68-3 ","202-590-7 --  227-678-2 ","(a) Oral products (b) Other products","b) 0,02 %","(a) (b) The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: — 0,001 % in leave -on products — 0,01 % in rinse-off products","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","Phenol, 2-methoxy-4- (1-propenyl)","","",14/05/2013
74,"2 -Pentyl-3-phenylprop-2-en-1-ol   ","AMYLCINNAMYL ALCOHOL ","101-85-9","202-982-8","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","AMYLCINNAMYL ALCOHOL","",17/10/2010
75,"Benzyl salicylate","BENZYL SALICYLATE","118-58-1","204-262-9","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","BENZYL SALICYLATE","",17/10/2010
